Loc_ID,Project,latitude,longitude,Status,Building Type
1042936934,Coleman,31.81910827,-99.42218405,Unserved,Home
1042936935,Coleman,31.82703806,-99.42785152,Unserved,Residential
1042936949,Coleman,31.81538289,-99.42004084,Unserved,CAI
1042936950,Coleman,31.82976123,-99.42988972,Unserved,Home
1042936951,Coleman,31.82491675,-99.42853969,Unserved,Residential
1042936959,Coleman,31.81830819,-99.41854069,Unserved,Home
1042936963,Coleman,31.82263852,-99.42747358,Unserved,Residential
1042936964,Coleman,31.82760602,-99.41893963,Unserved,Home
1042936966,Coleman,31.82518187,-99.42387812,Unserved,Residential
1042936970,Coleman,31.82793005,-99.43149598,Unserved,Home
1042936972,Coleman,31.82416077,-99.42643948,Unserved,Residential
1042936980,Coleman,31.82611797,-99.43424526,Unserved,Residential
1042936982,Coleman,31.81261252,-99.42945178,Unserved,Home
1042936988,Coleman,32.07422878,-99.20788452,Unserved,Residential
1042936991,Coleman,31.82609696,-99.43049588,Unserved,CAI
1042936997,Coleman,31.82352161,-99.41991273,Unserved,Home
1042936999,Coleman,31.81885714,-99.42539037,Unserved,Residential
1042937002,Coleman,31.81876613,-99.42012885,Unserved,Home
1042937006,Coleman,31.82865012,-99.43323916,Unserved,Residential
1042937008,Coleman,31.81377163,-99.42587832,Unserved,Home
1042937011,Coleman,31.86358761,-99.41699043,Unserved,Residential
1042937012,Coleman,31.81920128,-99.42270101,Unserved,Home
1042937015,Coleman,31.8134116,-99.41854569,Unserved,Residential
1042937018,Coleman,31.81839819,-99.4176405,Unserved,Residential
1042937022,Coleman,31.83058831,-99.42854069,Unserved,Home
1042937025,Coleman,31.95916227,-99.63625146,Unserved,Residential
1042937029,Coleman,31.81502186,-99.41656749,Unserved,CAI
1042937031,Coleman,31.81874013,-99.42219505,Unserved,Home
1042937033,Coleman,31.81479773,-99.42089082,Unserved,Residential
1042937038,Coleman,31.8264489,-99.4316519,Unserved,Home
1042937039,Coleman,31.81175143,-99.43008984,Unserved,Residential
1042937043,Coleman,31.81421278,-99.42808464,Unserved,Home
1042937047,Coleman,31.81965122,-99.4166784,Unserved,Residential
1042937057,Coleman,31.82160142,-99.43834567,Unserved,Home
1042937058,Coleman,31.82986124,-99.42926776,Unserved,Residential
1042937063,Coleman,31.81324168,-99.42094583,Unserved,Residential
1042937071,Coleman,31.81561882,-99.41938477,Unserved,Home
1042937072,Coleman,31.82521888,-99.42885162,Unserved,Residential
1042937073,Coleman,31.81397765,-99.41430127,Unserved,CAI
1042937074,Coleman,31.81117147,-99.43008984,Unserved,Home
1042937075,Coleman,31.82261152,-99.42084582,Unserved,Residential
1042937079,Coleman,31.81869012,-99.4216069,Unserved,Home
1042937089,Coleman,31.8234416,-99.4206348,Unserved,Residential
1042937095,Coleman,31.84226258,-99.44048488,Unserved,Home
1042937100,Coleman,31.81479073,-99.42159599,Unserved,Residential
1042937103,Coleman,31.82790205,-99.42805164,Unserved,Home
1042937105,Coleman,31.8284581,-99.43826266,Unserved,Residential
1042937108,Coleman,31.84091235,-99.42354019,Unserved,Residential
1042937109,Coleman,31.82656091,-99.43803964,Unserved,Home
1042937110,Coleman,31.82222758,-99.42895663,Unserved,Residential
1042937111,Coleman,31.82474773,-99.4316679,Unserved,CAI
1042937112,Coleman,31.81751101,-99.4206678,Unserved,Home
1042937120,Coleman,31.81750801,-99.42848468,Unserved,Residential
1042937131,Coleman,31.82974723,-99.42853469,Unserved,Home
1042937133,Coleman,31.81600796,-99.41710155,Unserved,Residential
1042937144,Coleman,31.83595885,-99.43638447,Unserved,Home
1042937147,Coleman,31.81079133,-99.42208904,Unserved,Residential
1042937149,Coleman,31.81970023,-99.43113995,Unserved,Home
1042937150,Coleman,31.80276753,-99.42716755,Unserved,Residential
1042937154,Coleman,31.82260052,-99.43281702,Unserved,Residential
1042937173,Coleman,31.82213157,-99.43134597,Unserved,Home
1042937191,Coleman,31.81308166,-99.42046788,Unserved,Residential
1042937193,Coleman,31.81906026,-99.41272801,Unserved,CAI
1042937198,Coleman,31.82157141,-99.4306238,Unserved,Home
1042937204,Coleman,31.82474273,-99.43185192,Unserved,Residential
1042937209,Coleman,31.81717107,-99.41517835,Unserved,Home
1042937212,Coleman,31.81657191,-99.42532337,Unserved,Residential
1042937227,Coleman,31.81820118,-99.422678,Unserved,Home
1042937229,Coleman,31.82392765,-99.42913475,Unserved,Residential
1042937234,Coleman,31.82473873,-99.42386212,Unserved,Home
1042937242,Coleman,31.82092735,-99.42940178,Unserved,Residential
1042937247,Coleman,31.96815617,-99.62343918,Unserved,Residential
1042937266,Coleman,31.82919827,-99.43635147,Unserved,Home
1042937267,Coleman,31.80663292,-99.41678441,Unserved,Residential
1042937272,Coleman,31.8264879,-99.42848968,Unserved,CAI
1042937273,Coleman,31.81261152,-99.42624546,Unserved,Home
1042937278,Coleman,31.82154241,-99.43655149,Unserved,Residential
1042937280,Coleman,31.81797105,-99.41222306,Unserved,Home
1042937281,Coleman,31.82796105,-99.42683442,Unserved,Residential
1042937284,Coleman,31.8294302,-99.43379511,Unserved,Home
1042937286,Coleman,31.81150041,-99.4306178,Unserved,Residential
1042937291,Coleman,31.83863712,-99.43012385,Unserved,Home
1042937301,Coleman,31.81789704,-99.41813465,Unserved,Residential
1042937309,Coleman,31.8224615,-99.42843468,Unserved,Residential
1042937316,Coleman,31.817498,-99.41907374,Unserved,Home
1042937323,Coleman,31.82613197,-99.42851269,Unserved,Residential
1042937325,Coleman,31.81176643,-99.42952879,Unserved,CAI
1042937329,Coleman,31.817451,-99.43033487,Unserved,Home
1042937330,Coleman,31.82260252,-99.43998473,Unserved,Residential
1042937340,Coleman,31.8234076,-99.43029086,Unserved,Home
1042937345,Coleman,31.77096735,-99.71737857,Unserved,Residential
